SampleName,Group,Group2,Thr13C,Val13C,Leu13C,Phe13C,Lys13C
Algae 1,Algae,,-15.77,-21.48,-19.91,-16.62,-18.42
Algae 2,Algae,,-14.05,-19.36,-15.69,-14.03,-15.69
Algae 3,Algae,,-13.55,-18.24,-15.66,-14.64,-15.77
Algae 4,Algae,,-17.49,-22.38,-18.88,-17.86,-21.72
Algae 5,Algae,,-16.55,-22.49,-18.46,-16.68,-18.65
Algae 6,Algae,,-17.17,-21.3,-20.9,-17.31,-19.35
Algae 7,Algae,,-15.33,-20.63,-17.58,-15.98,-17.48
Algae 8,Algae,,-17.69,-20.07,-17.98,-15.95,-17.47
Algae 9,Algae,,-14.24,-18.54,-16.22,-16.16,-16.67
Algae 10,Algae,,-16,-21.04,-18.45,-16.06,-17.59
Algae 11,Algae,,-15.3,-19.85,-17.04,-16.6,-17.74
Algae 12,Algae,,-17.75,-18.87,-17.57,-18.73,-15.61
Algae 13,Algae,,-15.54,-24.79,-20,-15.69,-18.53
DiurnalReefPlankton 1,DiurnalReefPlankton,1,-14.08,-25.58,-24.16,-21.18,-18.71
DiurnalReefPlankton 2,DiurnalReefPlankton,1,-13.74,-25.82,-25.76,-21.75,-18.96
DiurnalReefPlankton 3,DiurnalReefPlankton,1,-15.02,-25.99,-24.91,-22.41,-19.58
DiurnalReefPlankton 4,DiurnalReefPlankton,1,-12.5,-22.06,-22.63,-20.52,-17.22
DiurnalReefPlankton 5,DiurnalReefPlankton,1,-16.4,-27.74,-25.82,-22.86,-19.27
DiurnalReefPlankton 6,DiurnalReefPlankton,1,-14.48,-27.04,-24.56,-21.76,-19.72
DiurnalReefPlankton 7,DiurnalReefPlankton,1,-12.91,-24.49,-23.81,-21.1,-18.17
DiurnalReefPlankton 8,DiurnalReefPlankton,1,-14.88,-25.2,-24.67,-22.24,-19.34
DiurnalReefPlankton 9,DiurnalReefPlankton,1,-13.41,-23.88,-22.93,-22.77,-19.8
DiurnalReefPlankton 10,DiurnalReefPlankton,1,-10.6,-20.91,-21.47,-20.34,-16.39
DiurnalReefPlankton 11,DiurnalReefPlankton,1,-14.88,-25.08,-23.91,-21.64,-18.66
DiurnalReefPlankton 12,DiurnalReefPlankton,1,-13.6,-22.28,-22.34,-21.04,-17.67
DiurnalReefPlankton 13,DiurnalReefPlankton,1,-10.47,-21.57,-22.17,-19.34,-16.93
Coral 1,Coral,,-8.76,-22,-20.46,-15.46,-13.17
Coral 2,Coral,,-9.4,-22.91,-22.5,-15.42,-13.98
Coral 3,Coral,,-12.55,-23.22,-22.39,-17.49,-13.51
Coral 4,Coral,,-7.04,-20.8,-18.22,-14.26,-11.54
Coral 5,Coral,,-7.22,-18.38,-19.23,-14.34,-11.37
Coral 6,Coral,,-7.18,-20.44,-18.45,-14.19,-12.43
Coral 7,Coral,,-7.31,-19.07,-17.57,-13.6,-11.62
Coral 8,Coral,,-7.15,-20.8,-18.9,-15.26,-13.02
Coral 9,Coral,,-8.8,-22.49,-19.99,-15.2,-14.88
Detritus 1,Detritus,,-16.18,-23.28,-21.87,-17.16,-19.01
Detritus 2,Detritus,,-12.84,-18.94,-20.24,-14.71,-15.79
Detritus 3,Detritus,,-11.39,-17.38,-18.1,-13.48,-15.84
Detritus 4,Detritus,,-12.99,-15.38,-16.4,-12.64,-14.96
Detritus 5,Detritus,,-14.22,-18.6,-18.15,-14.98,-16.09
Detritus 6,Detritus,,-15.75,-21.91,-22.1,-17.78,-18.9
Detritus 7,Detritus,,-14.17,-16.7,-17.62,-18.13,-16.86
Detritus 8,Detritus,,-12.63,-16.81,-17.28,-17.28,-15.52
Detritus 9,Detritus,,-15.33,-20.35,-19.7,-16.31,-17.43
Detritus 10,Detritus,,-16.39,-20.81,-20.6,-18.94,-17.21
Detritus 11,Detritus,,-11.95,-17.27,-15.59,-14.36,-15.87
