SampleID,Group,Genus_Species,Temperature,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asx,Glx,Phe,Tyr,Lys
X38.1,Diatom,Chaetoceros debilis,20,-8.4,-3.8,-4.8,-3.4,-15.2,-18.8,-6.3,-10.4,-8.9,-11.7,-16.4,0,-5.2
X38.2,Diatom,Chaetoceros debilis,20,-8.9,-2.8,-6.7,-5.8,-17.1,-19.5,-8.4,-9.7,-7.1,-9.8,-17.8,0,-6.3
X38.3,Diatom,Chaetoceros debilis,20,-11.9,-6.2,-7.9,-4.7,-17.7,-20.1,-8.1,-11.7,-7.5,-13.7,-17.4,0,-4.4
X46.1,Diatom,Chaetoceros debilis,20,-9.3,-4.5,-7.1,-4,-18.6,-22.7,-8.8,-10.4,-10.4,-9.7,-21.2,0,-10.7
X46.2,Diatom,Chaetoceros debilis,20,-8.5,-4.1,-6.2,-3.7,-18.3,-22.6,-8.7,-10.5,-10.3,-9.3,-20.6,0,-10.4
X46.3,Diatom,Chaetoceros debilis,20,-10,-5.6,-7.5,-3.3,-19.8,-23.3,-9.7,-11.2,-11.6,-11,-22.7,0,-11.4
X24.1,Diatom,Skeletonema marinoi,20,-7.4,-4.6,-5.3,-2,-18.5,-20.3,-7.6,-9.9,-8.8,-8.8,-20.6,0,-8.4
X24.2,Diatom,Skeletonema marinoi,20,-8.1,-5.3,-5.9,-1.8,-18.3,-21.1,-7.8,-10.3,-9.3,-9.2,-20,0,-9.1
X24.3,Diatom,Skeletonema marinoi,20,-8,-4.3,-5.1,-2.5,-17.6,-21.1,-8.7,-10,-7.7,-9,-19.8,0,-9.5
X27.1,Diatom,Skeletonema marinoi,25,-6.5,-2.9,-4.7,-1.6,-17.7,-20.3,-7.4,-8.8,-7.6,-8,-18.6,0,-9.3
X27.2,Diatom,Skeletonema marinoi,25,-6.1,-4.3,-4.5,-2,-17.5,-20.7,-8,-8,-8.1,-7.9,-18.5,0,-9.2
X27.3,Diatom,Skeletonema marinoi,25,-6.5,-4.7,-4.1,-1.3,-17.8,-20.5,-7.3,-8.3,-7.5,-8.1,-18.4,0,-10.1
X39.1,Diatom,Skeletonema marinoi,15,-6,-3.3,-5.8,-2.5,-17.8,-22,-8.8,-10.1,-8.2,-8,-20.9,0,-9.2
X39.2,Diatom,Skeletonema marinoi,15,-4.8,-4.1,-4.7,-2,-21.1,-22.8,-9,-10.9,-8.2,-7.5,-20.5,0,-10.2
X39.3,Diatom,Skeletonema marinoi,15,-6.8,-4.3,-6.3,-3.4,-20.3,-23.4,-7,-11.3,-8.4,-8.1,-21.3,0,-8.5
X23.2,Diatom,Thalassiosira rotula,20,-10.9,-4.9,-7.9,-5.8,-20,-23.5,-14.3,-14.3,-12.2,-12.4,-22.4,0,-14.1
X23.3,Diatom,Thalassiosira rotula,20,-12.1,-5.7,-8.5,-6.5,-20.7,-25.3,-14.6,-15.6,-12.6,-13.8,-24,0,-14.1
X23.1,Diatom,Thalassiosira rotula,20,-12.5,-6.8,-8.9,-4.7,-20.9,-25.8,-12.7,-14.6,-13.5,-15.6,-23.5,0,-16.1
X28.1,Dinoflagellate,Akashiwo sanguinea,25,-14.1,-12.8,-11,-7.6,-25.5,-29.1,-14.6,-16.3,-11.8,-12.1,-23.2,0,-12.5
X28.2,Dinoflagellate,Akashiwo sanguinea,25,-15.8,-13.9,-10.7,-8.9,-28.2,-31.5,-17,-17.7,-13.9,-14,-23,0,-13.4
X28.3,Dinoflagellate,Akashiwo sanguinea,25,-12.2,-12.5,-8.5,-6.2,-28.4,-31.2,-15,-18.1,-13.3,-13.7,-22.6,0,-14.3
X36.1,Dinoflagellate,Heterocapsa triquetra,20,-4.9,-3.5,-3,5,-17.7,-20.4,-9.4,-9.4,-7.5,-8.2,-15.6,0,-5
X36.2,Dinoflagellate,Heterocapsa triquetra,20,-4,-6.5,-2,-1,-17.2,-19.2,-7.3,-7.3,-4.2,-4.9,-13.2,0,-5.1
X36.3,Dinoflagellate,Heterocapsa triquetra,20,-4.8,-5.9,-0.3,-1.3,-16.6,-19.3,-6.9,-7.9,-4.5,-5.5,-13.8,0,-2.3
X29.1,Dinoflagellate,Prorocentrum micans,25,-4.9,-4.3,-3.3,-1.2,-17,-20.6,-7.5,-8.1,-3.4,-4.7,-12.5,0,-3
X29.2,Dinoflagellate,Prorocentrum micans,25,-4.9,-6.1,-2,0.4,-18.7,-21.7,-7.5,-8.5,-3.5,-4.9,-12.9,0,-5.1
X29.3,Dinoflagellate,Prorocentrum micans,25,-5.8,-7.1,-2.9,-0.9,-19.7,-21.5,-9.1,-9.9,-3.4,-4.9,-13.6,0,-5.4
X37.1,Dinoflagellate,Prorocentrum micans,20,-4.4,-7.5,-3.2,-0.9,-16.9,-19.2,-8.8,-10.8,-3.3,-5.4,-13.5,0,-2.5
X37.2,Dinoflagellate,Prorocentrum micans,20,-3.5,-6.1,-3.9,-1.5,-18.2,-19.9,-10.1,-10.7,-3.3,-5.6,-14.3,0,-3.3
X37.3,Dinoflagellate,Prorocentrum micans,20,-4.8,-6,-1,0.4,-14.6,-18.1,-9.1,-6.9,-0.1,-1.1,-11.9,0,-3.9
X40.1,Dinoflagellate,Prorocentrum micans,15,-9,-9.3,-5.4,-3.5,-19.6,-22.3,-10.8,-12.4,-6.8,-9.3,-16.8,0,-5.4
X40.2,Dinoflagellate,Prorocentrum micans,15,-9.6,-10.6,-6.8,-3.6,-19.8,-24.3,-11.1,-12.7,-6.7,-10,-17.1,0,-5.5
X40.3,Dinoflagellate,Prorocentrum micans,15,-8,-9.3,-4.5,-3.4,-17,-23.4,-10.1,-11,-4.2,-6.7,-15.5,0,-4.2
X26.2,Prasinophyte,Micromonas commoda,20,-12.2,-6.4,-11,-7.9,-19.6,-26.6,-17.8,-17.7,-14.4,-15.3,-25.7,0,-14.4
X26.3,Prasinophyte,Micromonas commoda,20,-12.2,-6,-11.9,-8.2,-21.7,-26.9,-19.7,-14.4,-14.2,-16.6,-25.1,0,-14
X32.1,Prasinophyte,Micromonas commoda,25,-12.4,-2.4,-8.6,-6.1,-20.6,-23.2,-15.5,-13.6,-15.5,-14.2,-26.3,0,-11.3
X32.2,Prasinophyte,Micromonas commoda,25,-13.6,-3.1,-10.6,-9.5,-21.9,-24,-16.4,-13.7,-12.8,-11.4,-25,0,-11.3
X32.3,Prasinophyte,Micromonas commoda,25,-14.5,-4.2,-10.9,-8.2,-22.6,-24.9,-17.4,-14.7,-14,-12.8,-25.4,0,-12.5
X26.1,Prasinophyte,Micromonas commoda,20,-15.6,-6,-12.2,-7.5,-22.2,-27.7,-18,-15.8,-17.4,-14.9,-25.8,0,-13.9
X44.1,Prasinophyte,Micromonas commoda,15,-10,-0.7,-10.1,-5.8,-19.6,-25.5,-19.1,-14.2,-15,-13.6,-23,0,-9.2
X44.2,Prasinophyte,Micromonas commoda,15,-11.6,-3.7,-12.5,-8.3,-21.7,-26.1,-19.9,-14,-14.5,-12.9,-24.9,0,-12.3
X44.3,Prasinophyte,Micromonas commoda,15,-12.5,-3.3,-12.7,-9.3,-20,-28.5,-18.9,-16,-14.2,-14.2,-25.8,0,-11.8
X47.1,Prasinophyte,Micromonas commoda,25,-14.3,-3.3,-10.9,-7.9,-23.2,-25.2,-17.1,-13.7,-14.8,-13.9,-24.2,0,-11.4
X47.2,Prasinophyte,Micromonas commoda,25,-13.7,-3.4,-9.5,-8.4,-22.3,-25.6,-17.6,-13.8,-15,-13.8,-24.3,0,-10.8
X47.3,Prasinophyte,Micromonas commoda,25,-14.2,-3.4,-9.2,-8.1,-22.7,-26.4,-17.1,-13.6,-15.3,-14.6,-26,0,-11.5
X33.1,Prasinophyte,Micromonas pusilla,25,-10.6,0.5,-9.2,-4.7,-17.6,-23.1,-16.9,-11.9,-12.1,-9.5,-20.5,0,-9.2
X33.2,Prasinophyte,Micromonas pusilla,25,-10.1,-0.2,-8.7,-4.7,-19.5,-22.4,-17,-10.6,-13.2,-11,-21,0,-9.8
X33.3,Prasinophyte,Micromonas pusilla,25,-11,0.7,-8.7,-6.9,-19.4,-21.9,-18.1,-10.5,-12,-9.8,-19.7,0,-9.2
X48.1,Prasinophyte,Ostreococcus lucimarinus,20,-12.4,-3.4,-8.2,-5.7,-21.3,-23.7,-17.3,-11.7,-13.5,-12.9,-22.4,0,-10.9
X48.2,Prasinophyte,Ostreococcus lucimarinus,20,-13.6,-3.5,-8.9,-6.2,-21.2,-23.6,-17.3,-11.9,-14.8,-12.8,-23.4,0,-9.6
X48.3,Prasinophyte,Ostreococcus lucimarinus,20,-12.5,-3.3,-7.2,-6,-21.5,-23.7,-17.2,-12.8,-13.3,-11.6,-22.5,0,-11.9
X25.1,Raphidophyte,Fibrocapsa japonica,20,-15.1,-12.2,-10.4,-9.7,-19.5,-26.6,-15.1,-18.1,-12.4,-17.4,-28.1,0,-10.9
X25.2,Raphidophyte,Fibrocapsa japonica,20,-15.1,-10.7,-10.5,-8,-20.9,-26.9,-16.8,-19.1,-13.7,-17.7,-29.1,0,-12.1
X25.3,Raphidophyte,Fibrocapsa japonica,20,-15.8,-13,-13.5,-10.4,-22.8,-25.9,-15.2,-21.1,-13.9,-19.6,-27.8,0,-11.9
X31.1,Raphidophyte,Fibrocapsa japonica,25,-15.5,-13.9,-9.9,-7,-20.5,-27.5,-16,-17.1,-13.4,-15.3,-29,0,-12.9
X31.2,Raphidophyte,Fibrocapsa japonica,25,-16.4,-13.6,-9.6,-10.4,-22.3,-28,-15,-16.7,-11,-14.4,-28,0,-11.4
